Sample,X(ms) [03.01.2012 22:56:23 658 UTC],"Temperatura"[%MD9]
7033,1325631720308.429040,49.9954223632813
7034,1325631720358.495360,50.0198364257813
7035,1325631720408.438340,49.9954223632813
7036,1325631720458.423320,50.0198364257813
7037,1325631720508.458760,49.9954223632813
7038,1325631720558.475260,50.0198364257813
7039,1325631720608.464460,50.0198364257813
7040,1325631720658.453880,49.9710083007813
7041,1325631720708.433880,50.0198364257813
7042,1325631720758.454840,50.0198364257813
7043,1325631720808.433280,49.9954223632813
7044,1325631720858.464800,49.9954223632813
7045,1325631720908.526540,49.9710083007813
7046,1325631720958.449380,49.9954223632813
7047,1325631721008.448860,49.9954223632813
7048,1325631721058.438380,49.9954223632813
7049,1325631721108.462680,50.0198364257813
7050,1325631721158.432280,49.9710083007813
7051,1325631721208.449060,50.0442504882813
7052,1325631721258.428420,50.0198364257813
7053,1325631721308.443180,49.9710083007813
7054,1325631721358.488380,49.9435386657715
7055,1325631721408.436060,49.9710083007813
7056,1325631721458.434620,49.9954223632813
7057,1325631721508.430260,50.0198364257813
7058,1325631721558.438300,49.9954223632813
7059,1325631721608.478100,49.9954223632813
7060,1325631721658.432480,49.9435386657715
7061,1325631721708.442060,49.9710083007813
7062,1325631721758.479940,49.9954223632813
7063,1325631721808.437020,50.0198364257813
7064,1325631721858.476080,49.9954223632813
7065,1325631721908.440600,49.9435386657715
7066,1325631721958.443760,49.9710083007813
7067,1325631722008.461800,49.9954223632813
7068,1325631722058.435000,49.9710083007813
7069,1325631722108.481780,49.9954223632813
7070,1325631722158.434760,49.9710083007813
7071,1325631722208.436120,49.9710083007813
7072,1325631722258.433700,49.9954223632813
7073,1325631722308.455620,49.9710083007813
7074,1325631722358.475060,49.9954223632813
7075,1325631722408.426820,49.9710083007813
7076,1325631722458.446360,49.9710083007813
7077,1325631722508.444560,49.9710083007813
7078,1325631722558.440340,50.0198364257813
7079,1325631722608.500440,49.9710083007813
7080,1325631722658.438140,49.9710083007813
7081,1325631722708.431160,49.9954223632813
7082,1325631722758.457740,49.9954223632813
7083,1325631722808.440760,49.9954223632813
